Id,Constituency,District,WininngCandidates,Party,RunnderCandidate,Party,Margin
1,Behat,Saharanpur,Naresh Saini,INC,Mahaveer Singh Rana,BSP,25586
2,Nakur,Saharanpur,Dr. Dharam Singh Saini,BJP,Imran Masood,INC,4057
3,Saharanpur Nagar,Saharanpur,Sanjay Garg,SP,Rajiv GUmber,BJP,4636
4,Saharanpur,Saharanpur,Masood Akhtar,INC,Jagpal Singh,BSP,12324
5,Deoband,Saharanpur,Brijesh Choudhary,BJP,Majid Ali,BSP,29400
6,Rampur Maniharan (SC),Saharanpur,Devendra Kumar Nim,BJP,Ravindra Kumar Molhu,BSP,595
7,Gangoh,Saharanpur,Pradeep Kumar,BJP,Nauman Masood,INC,38028
8,Kairana,Shamli,Nahid Hasan,SP,Mriganka Singh,BJP,21162
9,Thana Bhawan,Shamli,Suresh Kumar,BJP,Abdul Waris Khan,BSP,16817
10,Shamli,Shamli,Tejendra Nirwal,BJP,Pankaj Kumar Malik,INC,29720
11,Budhana,Muzaffarnagar,Umesh Malik,BJP,Pramod Tyagi,SP,13201
12,Charthawal,Muzaffarnagar,Vijay Kumar Kashyap,BJP,Mukesh Kumar Chaudhary,SP,23231
13,Purqazi (SC),Muzaffarnagar,Pramod Utwal,BJP,Deepak Kumar,INC,11253
14,Muzaffar Nagar,Muzaffarnagar,Kapil Dev Aggrawal,BJP,Gaurav Swarup Bansal,SP,10704
15,Khatauli,Muzaffarnagar,Vikram Singh,BJP,Chandra Singh Chauhan,SP,31374
16,Meerapur,Muzaffarnagar,Avatar Singh Bhadana,BJP,Liyakat Ali,SP,193
17,Najibabad,Bijnor,Tasleem,SP,Rajiv Kumar Agarwal,BJP,2002
18,Nagina (SC),Bijnor,Manoj Kumar Paras,SP,Omwati Devi,BJP,7967
19,Barhapur,Bijnor,Sushant Kumar,BJP,Husain Ahmad,INC,9824
20,Dhampur,Bijnor,Ashok Kumar Rana,BJP,Tha. Mool Chand Chauhan,SP,17864
21,Nehtaur (SC),Bijnor,Omkumar,BJP,Munnalal Premi,INC,23151
22,Bijnor,Bijnor,Suchi,BJP,Ruchi Vira,SP,27281
23,Chandpur,Bijnor,Kamlesh Saini,BJP,Mohammad Iqbal,BSP,35649
24,Noorpur,Bijnor,Lokendra Singh,BJP,Naim Ul Hasan,SP,12736
25,Kanth,Moradabad,Rajesh Kumar Singh,BJP,Anees Ur Rehman,SP,2348
26,Thakurdwara,Moradabad,Nawab Jan,SP,Rajpal Singh Chauhan,BJP,13409
27,Moradabad Rural,Moradabad,Haji Ikram Qureshi,SP,Hari Om Sharma,BJP,28781
28,Moradabad Nagar,Moradabad,Ritesh Kumar Gupta,BJP,Mohammad Yusuf Ansari,SP,3193
29,Kundarki,Moradabad,Mohammad Rizwan,SP,Ramveer Singh,BJP,10821
30,Bilari,Moradabad,Mohd.Faheem,SP,Suresh Saini,BJP,13441
31,Chandausi (SC),Sambhal,Gulab Devi,BJP,Vimesh Kumari,INC,45469
32,Asmoli,Sambhal,Pinki Yadav,SP,Narendra Singh,BJP,21126
33,Sambhal,Sambhal,Iqbal Mehmood,SP,Zia Ur Rehman,AIMIM,18822
34,Suar,Rampur,Mohammad Abdullah Azam Khan,SP,Laxmi Saini,BJP,53096
35,Chamraua,Rampur,Naseer Ahmed Khan,SP,Ali Yusuf Ali,BSP,34376
36,Bilaspur,Rampur,Baldev Singh Aulakh,BJP,Sanjay Kapoor,INC,22359
37,Rampur,Rampur,Mohammad Azam Khan,SP,Shiv Bahadur Saxena,BJP,46842
38,Milak (SC),Rampur,Rajbala,BJP,Vijay Singh,SP,16667
39,Dhanaura (SC),Amroha,Rajeev Kumar,BJP,Jagram Singh,SP,38229
40,Naugawan Sadat,Amroha,Chetan Chauhan,BJP,Javed Abbas,SP,20648
41,Amroha,Amroha,Mehboob Ali,SP,Naushad Ali,BSP,15042
42,Hasanpur,Amroha,Mahender Singh Khadakvanshi,BJP,Kamal Akhtar,SP,27770
43,Siwalkhas,Meerut,Jitendra Pal Singh Billu,BJP,Gulam Mohammad,SP,11421
44,Sardhana,Meerut,Sangeet Singh Som,BJP,Atul Pradhan,SP,21625
45,Hastinapur,Meerut,Dinesh Khatik,BJP,Yogesh Verma,BSP,36062
46,Kithore,Meerut,Satyavir Tyagi,BJP,Shahid Manzoor,SP,10822
47,Meerut Cant,Meerut,Satya Prakash Agarwal,BJP,Satendra Solanki,BSP,76619
48,Meerut City,Meerut,Rafiq Ansari,SP,Laxmikant Bajpal,BJP,28769
49,Meerut South,Meerut,Dr. Somendra Tomar,BJP,Haji Mohammad Yaqub,BSP,35395
